K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
4,4,152,0.45418766085890333,3.730501975971504,2.733646329831486,794,1.2041861
4,4,152,0.45418766085890333,3.730501975971504,2.733646329831486,702,1.1264744
2,1,177,0.4248149656813812,3.7075659331052138,3.707423521361539,110,1.1159651
2,2,107,0.010403555961745192,5.389249549946505,4.208523875348032,1,1.1154321
3,1,212,0.006166268741460312,4.132815325386499,3.7175837400889735,10,1.1118059
4,2,45,0.24984774469529475,3.880808653805694,4.879107252068166,146,1.1037128
3,3,247,0.1811214306284064,3.9037739810891012,2.406901154713516,24,1.1035503
2,1,80,0.3509335156325196,3.7280208689305536,3.51576945317966,46,1.1000212
4,3,129,0.4403457003575597,3.5874260952828756,3.716472616722317,70,1.097117
5,1,195,0.2898161680753471,4.628694313569167,3.272317000610734,42,1.0918366
3,3,230,0.2578219938305186,5.139611015673609,4.056090856437233,28,1.0915877
3,4,59,0.03304740100797804,3.3381836216909746,4.193422465629718,0,1.0911267
3,4,94,0.3992350497720482,5.229083058807636,2.4652360034485823,14,1.0877734
5,2,165,0.3110708601721911,2.8142080511739906,2.8560773177808385,39,1.086334
5,1,33,0.32369525073925004,4.145860365979329,3.428079425498514,66,1.0865498
4,5,140,0.5,6.0,3.4995825831561547,46,1.0843168
5,1,117,0.2886327413778084,2.7782284699283832,3.543073849236587,31,1.0838776
3,1,255,0.5,5.2819461848073335,4.714287587083467,6,1.083658
2,3,203,0.09822247351090968,2.1900203802508855,2.7119755589620795,41,1.0803176
6,5,185,0.5,6.0,5.0,48,1.0791614
2,1,222,0.32834828096418667,2.0,4.540812896289376,8,1.0786628
6,5,240,0.0,6.0,5.0,13,1.0823562
6,5,67,0.0353732074979423,6.0,5.0,51,1.0791279
6,5,86,0.2385319629000894,5.529615633842637,2.0,16,1.0788361
6,1,101,0.0,2.0,3.4509211226094543,48,1.0783516
6,5,218,0.049492030521270956,6.0,2.0,26,1.0782366
3,1,72,0.14340180065212443,2.421814289586799,3.1043272532902675,22,1.0791953
2,5,52,0.5,6.0,2.0,29,1.0781728
6,5,172,0.3853177894620662,6.0,5.0,38,1.0771265
2,1,187,0.0,2.0,2.0,2,1.0785872
2,1,237,0.0,2.0,2.0,0,1.0785315
2,5,39,0.0,2.0,2.0,20,1.0779407
