K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
2,1,239,0.36111182607707076,5.631472037087123,3.95725362516087,776,1.1296448
2,1,239,0.36111182607707076,5.631472037087123,3.95725362516087,93,1.1235731
2,2,140,0.08757726166201152,4.869353528365603,2.668458386548583,76,1.1206332
3,4,109,0.19398277308070894,5.507342367795101,2.9220018165955124,34,1.1226621
5,2,83,0.39974887538018594,5.462651652266029,2.0964883471228366,5,1.1205769
5,1,181,0.1672233379581718,3.26909721582271,4.0609136837296695,30,1.1184417
5,2,59,0.05758359259302909,3.07141959125007,4.692412868519938,17,1.1147991
3,4,33,0.26186542687457487,3.0634973073768985,4.098764196629013,48,1.1111143
4,1,208,0.3122648707700212,4.935822728739536,2.633233147531743,14,1.113477
5,4,159,0.3739843166398609,3.0409664522450797,2.2142669404254827,82,1.1180662
