K,T,fingerprint_dim,p_dropout,weight_decay,learning_rate,best_epoch,best_MSE
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,352,1.3029424
5,1,137,0.11636416398864535,5.47677816085568,3.592567074666797,165,1.2714283
3,2,93,0.35618728704104563,4.173544070170161,4.282686726808787,67,1.2610534
4,2,216,0.4374079455948399,3.411247977288813,3.4463722476479832,76,1.2472327
4,1,167,0.0732934416550246,4.640482841098425,2.8462422487070365,76,1.2335662
5,1,249,0.03434506672907861,5.204223545305577,3.914716418369364,103,1.2250293
4,4,192,0.2232114537589513,4.335858174003867,2.1167368929269657,4,1.2239025
4,3,51,0.42285229092890136,3.0019271735941704,4.52957478503071,26,1.2230859
2,2,114,0.32638824859191673,3.6058247988732197,2.2698981177119624,9,1.2181029
2,3,72,0.23118003926901048,2.382513445203546,3.501818317832948,37,1.2261702
5,3,33,0.30770276141582464,5.067816205753853,2.2112764240033567,24,1.2251629
3,1,234,0.45152571965369864,4.789980544034063,4.744914805769613,27,1.2284111
4,4,151,0.1776866930778986,4.221971467323764,4.610119341446863,0,1.2245129
5,4,179,0.4892095748573387,2.4690003871645403,4.236976527890365,64,1.214987
5,4,204,0.4897370461333964,2.8300921658551417,2.444204193005685,100,1.2172576
2,1,126,0.5,6.0,5.0,65,1.2111905
3,3,61,0.26885103252979936,6.0,2.5814333962645306,114,1.1977359
2,4,103,0.007619663584607195,5.795555623301018,3.6207649303586456,29,1.1925867
2,3,81,0.05930576254303016,5.722927002321789,3.4135038369264747,5,1.1922219
2,1,43,0.0,6.0,2.2711913339997634,9,1.1950313
2,5,226,0.0,3.237591812938913,4.460207254245143,41,1.1922991
2,5,243,0.5,2.0,2.0,77,1.1862332
2,5,255,0.0,2.0,2.0,0,1.1867263
4,5,160,0.5,6.0,5.0,45,1.1854638
6,5,122,1.812177556415259e-07,2.0,2.0,28,1.183385
2,1,185,0.5,6.0,5.0,3,1.1848463
2,1,199,0.5,6.0,5.0,103,1.1832676
6,5,109,0.5,2.0,5.0,75,1.1792021
6,1,86,0.22941265754623122,2.0,2.0,2,1.1877444
6,5,40,0.5,2.0,5.0,13,1.1800816
2,1,209,0.0,6.0,5.0,2,1.1887634
2,5,173,0.5,6.0,5.0,32,1.183769
